circle_id,start_idx,end_idx,start_time,end_time,duration_s,arc_deg,turn_rate_deg_s,radius_m_est,lat_mid,lon_mid,cluster_id
1,0,70,2020-11-08 02:57:29,2020-11-08 03:00:59,210.0,300.0,1.4285714285714286,1798.2813613595574,-31.719616666666667,117.23205,1
2,70,128,2020-11-08 03:00:59,2020-11-08 03:03:53,174.0,300.0,1.7241379310344827,1068.0530224463103,-31.77545,117.25785,2
3,128,132,2020-11-08 03:03:53,2020-11-08 03:04:05,12.0,300.0,-25.0,43.550540912997064,-31.797883333333335,117.27301666666666,3
4,132,156,2020-11-08 03:04:05,2020-11-08 03:05:17,72.0,300.0,-4.166666666666667,119.63851096854482,-31.801133333333333,117.27921666666667,3
5,156,162,2020-11-08 03:05:17,2020-11-08 03:05:35,18.0,300.0,16.666666666666668,41.3025661623082,-31.801933333333334,117.28216666666667,3
6,162,167,2020-11-08 03:05:35,2020-11-08 03:05:50,15.0,300.0,-20.0,58.87378567050725,-31.800916666666666,117.28088333333334,3
7,167,178,2020-11-08 03:05:50,2020-11-08 03:06:23,33.0,300.0,-9.090909090909092,13.553193052070446,-31.801583333333333,117.28308333333334,3
8,178,184,2020-11-08 03:06:23,2020-11-08 03:06:41,18.0,300.0,16.666666666666668,34.62783254355699,-31.804233333333332,117.2853,3
9,184,199,2020-11-08 03:06:41,2020-11-08 03:07:26,45.0,300.0,-6.666666666666667,40.133088260468334,-31.804866666666666,117.28411666666666,3
10,199,227,2020-11-08 03:07:26,2020-11-08 03:08:50,84.0,300.0,3.5714285714285716,126.66382285284868,-31.8066,117.28741666666667,3
11,227,248,2020-11-08 03:08:50,2020-11-08 03:09:53,63.0,300.0,4.761904761904762,99.70819497478553,-31.8089,117.29363333333333,3
12,248,270,2020-11-08 03:09:53,2020-11-08 03:10:59,66.0,300.0,4.545454545454546,67.64082919321778,-31.810433333333332,117.29703333333333,3
13,270,291,2020-11-08 03:10:59,2020-11-08 03:12:02,63.0,300.0,4.761904761904762,104.24882775438549,-31.8129,117.3015,3
14,291,295,2020-11-08 03:12:02,2020-11-08 03:12:14,12.0,300.0,-25.0,45.34081534300586,-31.814983333333334,117.30145,3
15,295,314,2020-11-08 03:12:14,2020-11-08 03:13:11,57.0,300.0,5.2631578947368425,147.08343476837092,-31.814583333333335,117.30648333333333,3
16,314,319,2020-11-08 03:13:11,2020-11-08 03:13:26,15.0,300.0,-20.0,26.25012189718597,-31.817966666666667,117.30776666666667,3
17,319,451,2020-11-08 03:13:26,2020-11-08 03:20:02,396.0,300.0,0.7575757575757576,3077.8859888065876,-31.907533333333333,117.32991666666666,4
18,451,458,2020-11-08 03:20:02,2020-11-08 03:20:23,21.0,300.0,-14.285714285714286,70.56403629282627,-31.96105,117.34543333333333,5
19,458,475,2020-11-08 03:20:23,2020-11-08 03:21:14,51.0,300.0,5.882352941176471,47.434976226160146,-31.9611,117.35016666666667,5
20,475,486,2020-11-08 03:21:14,2020-11-08 03:21:47,33.0,300.0,9.090909090909092,38.81453619691472,-31.96538333333333,117.35085,5
21,486,612,2020-11-08 03:21:47,2020-11-08 03:28:05,378.0,300.0,-0.7936507936507936,3813.9558116872745,-32.06138333333333,117.34818333333334,6
22,612,617,2020-11-08 03:28:05,2020-11-08 03:28:20,15.0,300.0,20.0,79.84308575951971,-32.14026666666667,117.32205,7
23,617,780,2020-11-08 03:28:20,2020-11-08 03:36:29,489.0,300.0,0.6134969325153374,4438.451599521947,-32.2445,117.29733333333333,8
24,780,874,2020-11-08 03:36:29,2020-11-08 03:41:11,282.0,300.0,1.0638297872340425,1574.4942454319464,-32.382933333333334,117.29088333333333,9
25,874,896,2020-11-08 03:41:11,2020-11-08 03:42:17,66.0,300.0,4.545454545454546,98.3271898951047,-32.41955,117.29045,10
26,896,900,2020-11-08 03:42:17,2020-11-08 03:42:29,12.0,300.0,-25.0,43.915900894786866,-32.422,117.2904,10
27,900,1018,2020-11-08 03:42:29,2020-11-08 03:48:23,354.0,300.0,0.847457627118644,2538.1988323577075,-32.47313333333334,117.28575,11
28,1018,1024,2020-11-08 03:48:23,2020-11-08 03:48:41,18.0,300.0,-16.666666666666668,55.59634167542306,-32.54215,117.28956666666667,12
29,1024,1029,2020-11-08 03:48:41,2020-11-08 03:48:56,15.0,300.0,20.0,28.261887808445003,-32.54155,117.29326666666667,12
30,1029,1069,2020-11-08 03:48:56,2020-11-08 03:50:56,120.0,300.0,-2.5,334.29842023184204,-32.547866666666664,117.29353333333333,12
31,1069,1075,2020-11-08 03:50:56,2020-11-08 03:51:14,18.0,300.0,16.666666666666668,62.68305752702741,-32.55891666666667,117.29593333333334,12
32,1075,1098,2020-11-08 03:51:14,2020-11-08 03:52:23,69.0,300.0,4.3478260869565215,114.68049272424521,-32.5597,117.2976,12
33,1098,1103,2020-11-08 03:52:23,2020-11-08 03:52:38,15.0,300.0,-20.0,49.382757801988795,-32.56238333333334,117.29948333333333,12
34,1103,1120,2020-11-08 03:52:38,2020-11-08 03:53:29,51.0,300.0,5.882352941176471,106.75593702669308,-32.564566666666664,117.30448333333334,12
35,1120,1150,2020-11-08 03:53:29,2020-11-08 03:54:59,90.0,300.0,3.3333333333333335,290.59124019830233,-32.5686,117.30925,12
36,1150,1415,2020-11-08 03:54:59,2020-11-08 04:08:14,795.0,300.0,0.37735849056603776,6904.495287120266,-32.7537,117.30265,13
37,1415,1433,2020-11-08 04:08:14,2020-11-08 04:09:08,54.0,300.0,5.555555555555555,99.89874891102905,-32.90623333333333,117.27556666666666,14
38,1433,1470,2020-11-08 04:09:08,2020-11-08 04:10:59,111.0,300.0,-2.7027027027027026,687.9267876255458,-32.92998333333333,117.26795,15
39,1470,1486,2020-11-08 04:10:59,2020-11-08 04:11:47,48.0,300.0,6.25,41.059108919921876,-32.935566666666666,117.27521666666667,15
40,1486,1491,2020-11-08 04:11:47,2020-11-08 04:12:02,15.0,300.0,-20.0,49.5557836117886,-32.93633333333333,117.27441666666667,15
41,1491,1496,2020-11-08 04:12:02,2020-11-08 04:12:17,15.0,300.0,20.0,37.61377537844161,-32.93718333333333,117.27723333333333,15
42,1496,1594,2020-11-08 04:12:17,2020-11-08 04:17:11,294.0,300.0,-1.0204081632653061,2892.9045805909604,-33.00655,117.2774,16
43,1594,1600,2020-11-08 04:17:11,2020-11-08 04:17:29,18.0,300.0,16.666666666666668,77.98961601406882,-33.070483333333335,117.26216666666667,17
44,1600,1606,2020-11-08 04:17:29,2020-11-08 04:17:47,18.0,300.0,-16.666666666666668,64.70101573477086,-33.07165,117.262,17
45,1606,1687,2020-11-08 04:17:47,2020-11-08 04:21:50,243.0,300.0,-1.2345679012345678,1422.2855465787566,-33.110166666666665,117.26061666666666,18
46,1687,1693,2020-11-08 04:21:50,2020-11-08 04:22:08,18.0,300.0,16.666666666666668,38.03740361213248,-33.13848333333333,117.26938333333334,19
47,1693,1714,2020-11-08 04:22:08,2020-11-08 04:23:11,63.0,300.0,4.761904761904762,92.71307248357533,-33.138216666666665,117.27113333333334,19
48,1714,1735,2020-11-08 04:23:11,2020-11-08 04:24:14,63.0,300.0,4.761904761904762,88.62057456068678,-33.1389,117.27438333333333,19
49,1735,1740,2020-11-08 04:24:14,2020-11-08 04:24:29,15.0,300.0,-20.0,41.947487797970865,-33.14125,117.27523333333333,19
50,1740,1988,2020-11-08 04:24:29,2020-11-08 04:36:53,744.0,300.0,0.4032258064516129,7689.064734282071,-33.30576666666666,117.34315,20
51,1988,1994,2020-11-08 04:36:53,2020-11-08 04:37:11,18.0,300.0,-16.666666666666668,20.82429411200437,-33.48433333333333,117.41033333333333,21
52,1994,2000,2020-11-08 04:37:11,2020-11-08 04:37:29,18.0,300.0,16.666666666666668,42.03167501701631,-33.48543333333333,117.4137,21
53,2000,2017,2020-11-08 04:37:29,2020-11-08 04:38:20,51.0,300.0,-5.882352941176471,100.28239970469947,-33.485866666666666,117.41368333333334,21
54,2017,2023,2020-11-08 04:38:20,2020-11-08 04:38:38,18.0,300.0,16.666666666666668,44.88432613177045,-33.48851666666667,117.41986666666666,21
55,2023,2045,2020-11-08 04:38:38,2020-11-08 04:39:44,66.0,300.0,4.545454545454546,144.6808588336931,-33.4874,117.42183333333334,21
56,2045,2245,2020-11-08 04:39:44,2020-11-08 04:48:44,540.0,300.0,-0.5555555555555556,1891.5844311820306,-33.5611,117.44608333333333,22
57,2245,2253,2020-11-08 04:48:44,2020-11-08 04:49:08,24.0,300.0,12.5,79.07764143607577,-33.48031666666667,117.53641666666667,23
58,2253,2258,2020-11-08 04:49:08,2020-11-08 04:49:23,15.0,300.0,-20.0,67.23571168158136,-33.482366666666664,117.53441666666667,23
59,2258,2269,2020-11-08 04:49:23,2020-11-08 04:49:56,33.0,300.0,9.090909090909092,37.233489784083375,-33.48335,117.53625,23
60,2269,2307,2020-11-08 04:49:56,2020-11-08 04:51:50,114.0,300.0,-2.6315789473684212,827.0843415174799,-33.468916666666665,117.53476666666667,23
61,2307,2333,2020-11-08 04:51:50,2020-11-08 04:53:08,78.0,300.0,3.8461538461538463,767.222907453976,-33.422583333333336,117.53575,24
62,2333,2342,2020-11-08 04:53:08,2020-11-08 04:53:35,27.0,300.0,11.11111111111111,194.04366393273432,-33.40128333333333,117.53201666666666,25
63,2342,2357,2020-11-08 04:53:35,2020-11-08 04:54:20,45.0,300.0,-6.666666666666667,341.3458167210839,-33.387683333333335,117.52985,26
64,2357,2363,2020-11-08 04:54:20,2020-11-08 04:54:38,18.0,300.0,16.666666666666668,142.71740785769543,-33.377066666666664,117.52905,26
65,2363,2370,2020-11-08 04:54:38,2020-11-08 04:54:59,21.0,300.0,-14.285714285714286,58.585971237526735,-33.37545,117.52733333333333,26
66,2370,2375,2020-11-08 04:54:59,2020-11-08 04:55:14,15.0,300.0,20.0,37.73768979882535,-33.374633333333335,117.53301666666667,26
67,2375,2399,2020-11-08 04:55:14,2020-11-08 04:56:26,72.0,300.0,4.166666666666667,111.7412986086383,-33.37625,117.53588333333333,26
68,2399,2470,2020-11-08 04:56:26,2020-11-08 04:59:59,213.0,300.0,-1.408450704225352,2052.8070317063866,-33.33801666666667,117.55238333333334,27
69,2470,2534,2020-11-08 04:59:59,2020-11-08 05:03:11,192.0,300.0,1.5625,1460.5728000111205,-33.25241666666667,117.62316666666666,28
70,2534,2540,2020-11-08 05:03:11,2020-11-08 05:03:29,18.0,300.0,-16.666666666666668,125.92475620567218,-33.2406,117.64948333333334,29
71,2540,2648,2020-11-08 05:03:29,2020-11-08 05:08:53,324.0,300.0,0.9259259259259259,3211.4179861026087,-33.171,117.71125,30
72,2648,2658,2020-11-08 05:08:53,2020-11-08 05:09:23,30.0,300.0,10.0,31.51883178147343,-33.13603333333333,117.7907,31
73,2658,2670,2020-11-08 05:09:23,2020-11-08 05:09:59,36.0,300.0,8.333333333333334,93.62170596594098,-33.1382,117.79038333333334,31
74,2670,2693,2020-11-08 05:09:59,2020-11-08 05:11:08,69.0,300.0,4.3478260869565215,123.364910780126,-33.138783333333336,117.79491666666667,31
75,2693,2698,2020-11-08 05:11:08,2020-11-08 05:11:23,15.0,300.0,-20.0,37.479437696713866,-33.14196666666667,117.79765,31
76,2698,2704,2020-11-08 05:11:23,2020-11-08 05:11:41,18.0,300.0,16.666666666666668,16.430270049059228,-33.1436,117.80005,31
77,2704,2715,2020-11-08 05:11:41,2020-11-08 05:12:14,33.0,300.0,9.090909090909092,100.91454650994487,-33.14451666666667,117.80128333333333,31
78,2715,2720,2020-11-08 05:12:14,2020-11-08 05:12:29,15.0,300.0,-20.0,31.884216085827017,-33.14521666666667,117.80246666666666,31
79,2720,2727,2020-11-08 05:12:29,2020-11-08 05:12:50,21.0,300.0,14.285714285714286,39.8285489515243,-33.1457,117.806,31
80,2727,2738,2020-11-08 05:12:50,2020-11-08 05:13:23,33.0,300.0,9.090909090909092,113.9818665956274,-33.14203333333333,117.80801666666666,31
81,2738,2898,2020-11-08 05:13:23,2020-11-08 05:21:23,480.0,300.0,0.625,4091.406885677959,-33.0516,117.84721666666667,32
82,2898,2935,2020-11-08 05:21:23,2020-11-08 05:23:14,111.0,300.0,2.7027027027027026,532.0074387461108,-32.939616666666666,117.85313333333333,33
83,2935,2946,2020-11-08 05:23:14,2020-11-08 05:23:47,33.0,300.0,-9.090909090909092,61.489083893802544,-32.9343,117.84736666666667,33
84,2946,2956,2020-11-08 05:23:47,2020-11-08 05:24:17,30.0,300.0,10.0,28.444034482593224,-32.93795,117.84913333333333,33
85,2956,2968,2020-11-08 05:24:17,2020-11-08 05:24:53,36.0,300.0,-8.333333333333334,85.33127589940364,-32.93675,117.85013333333333,33
86,2968,2978,2020-11-08 05:24:53,2020-11-08 05:25:23,30.0,300.0,10.0,11.506326398171275,-32.94095,117.85118333333334,33
87,2978,3007,2020-11-08 05:25:23,2020-11-08 05:26:50,87.0,300.0,3.4482758620689653,473.4502337262629,-32.934266666666666,117.86233333333334,33
88,3007,3019,2020-11-08 05:26:50,2020-11-08 05:27:26,36.0,300.0,-8.333333333333334,97.39898216874141,-32.92471666666667,117.87525,34
89,3019,3030,2020-11-08 05:27:26,2020-11-08 05:27:59,33.0,300.0,9.090909090909092,59.66776976500038,-32.92895,117.87768333333334,34
90,3030,3042,2020-11-08 05:27:59,2020-11-08 05:28:35,36.0,300.0,-8.333333333333334,105.0299379993544,-32.9284,117.88033333333334,34
91,3042,3053,2020-11-08 05:28:35,2020-11-08 05:29:08,33.0,300.0,9.090909090909092,22.00113740760965,-32.932633333333335,117.88143333333333,34
92,3053,3106,2020-11-08 05:29:08,2020-11-08 05:31:47,159.0,300.0,-1.8867924528301887,1446.832212342649,-32.91546666666667,117.90535,35
93,3106,3249,2020-11-08 05:31:47,2020-11-08 05:38:56,429.0,300.0,0.6993006993006993,4768.988594721424,-32.78865,118.02196666666667,36
94,3249,3287,2020-11-08 05:38:56,2020-11-08 05:40:50,114.0,300.0,2.6315789473684212,1210.4666101567818,-32.682316666666665,118.1166,37
95,3287,3334,2020-11-08 05:40:50,2020-11-08 05:43:11,141.0,300.0,-2.127659574468085,1218.3499455213255,-32.63115,118.12023333333333,38
96,3334,3416,2020-11-08 05:43:11,2020-11-08 05:47:17,246.0,300.0,1.2195121951219512,1859.684586032679,-32.56471666666667,118.16925,39
97,3416,3461,2020-11-08 05:47:17,2020-11-08 05:49:32,135.0,300.0,2.2222222222222223,850.8765369485953,-32.52916666666667,118.20988333333334,40
98,3461,3532,2020-11-08 05:49:32,2020-11-08 05:53:05,213.0,300.0,1.408450704225352,1600.8208320405474,-32.48668333333333,118.26441666666666,41
99,3532,3573,2020-11-08 05:53:05,2020-11-08 05:55:08,123.0,300.0,2.4390243902439024,632.3066464678811,-32.453133333333334,118.30176666666667,42
100,3573,3583,2020-11-08 05:55:08,2020-11-08 05:55:38,30.0,300.0,-10.0,43.81294620916592,-32.4539,118.31016666666666,42
101,3583,3636,2020-11-08 05:55:38,2020-11-08 05:58:17,159.0,300.0,-1.8867924528301887,360.86538603286414,-32.44253333333333,118.34298333333334,43
102,3636,3646,2020-11-08 05:58:17,2020-11-08 05:58:47,30.0,300.0,10.0,15.647287011243726,-32.4407,118.32323333333333,43
